sample,event,trap,sample_number,date_begin,date_end,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],sample_1998_2000,trap_2008_2011
e2-15,Amazon2000,e2,15,15.10.2000,08.11.2000,GX.9116,GX.9375,GX.9154,,e2/15,e2
e2-18,Amazon2000,e2,18,15.12.2000,28.12.2000,GX.9116,GX.9375,GX.9154,,e2/18,e2
e3-1,Amazon2000,e3,1,22.01.2000,22.02.2000,GX.9116,GX.9375,GX.9155,,e3/1,e3
e3-2,Amazon2000,e3,2,22.02.2000,08.03.2000,GX.9116,GX.9375,GX.9155,,e3/2,e3
e3-3,Amazon2000,e3,3,08.03.2000,24.03.2000,GX.9116,GX.9375,GX.9155,,e3/3,e3
e3-4,Amazon2000,e3,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9155,,e3/4,e3
e3-5,Amazon2000,e3,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9155,,e3/5,e3
e3-7,Amazon2000,e3,7,22.05.2000,11.06.2000,GX.9116,GX.9375,GX.9155,,e3/7,e3
e3-9,Amazon2000,e3,9,29.06.2000,16.07.2000,GX.9116,GX.9375,GX.9155,,e3/9,e3
e3-11,Amazon2000,e3,11,02.08.2000,18.08.2000,GX.9116,GX.9375,GX.9155,,e3/11,e3
e3-12,Amazon2000,e3,12,18.08.2000,14.09.2000,GX.9116,GX.9375,GX.9155,,e3/12,e3
e3-13,Amazon2000,e3,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9155,,e3/13,e3
e3-14,Amazon2000,e3,14,04.10.2000,15.10.2000,GX.9116,GX.9375,GX.9155,,e3/14,e3
e3-15,Amazon2000,e3,15,15.10.2000,08.11.2000,GX.9116,GX.9375,GX.9155,,e3/15,e3
e3-18,Amazon2000,e3,18,15.12.2000,29.12.2000,GX.9116,GX.9375,GX.9155,,e3/18,e3
f1-1,Amazon2000,f1,1,22.01.2000,22.02.2000,GX.9116,GX.9377,GX.9156,,f1/1,f1
f1-2,Amazon2000,f1,2,22.02.2000,07.03.2000,GX.9116,GX.9377,GX.9156,,f1/2,f1
f1-3,Amazon2000,f1,3,07.03.2000,24.03.2000,GX.9116,GX.9377,GX.9156,,f1/3,f1
f1-4,Amazon2000,f1,4,24.03.2000,16.04.2000,GX.9116,GX.9377,GX.9156,,f1/4,f1
f1-5,Amazon2000,f1,5,16.04.2000,03.05.2000,GX.9116,GX.9377,GX.9156,,f1/5,f1
f1-7,Amazon2000,f1,7,22.05.2000,11.06.2000,GX.9116,GX.9377,GX.9156,,f1/7,f1
f1-8,Amazon2000,f1,8,11.06.2000,29.06.2000,GX.9116,GX.9377,GX.9156,,f1/8,f1
f1-9,Amazon2000,f1,9,29.06.2000,16.07.2000,GX.9116,GX.9377,GX.9156,,f1/9,f1
f1-10,Amazon2000,f1,10,16.07.2000,02.08.2000,GX.9116,GX.9377,GX.9156,,f1/10,f1
f1-11,Amazon2000,f1,11,02.08.2000,18.08.2000,GX.9116,GX.9377,GX.9156,,f1/11,f1
f1-12,Amazon2000,f1,12,18.08.2000,14.09.2000,GX.9116,GX.9377,GX.9156,,f1/12,f1
f1-13,Amazon2000,f1,13,14.09.2000,04.10.2000,GX.9116,GX.9377,GX.9156,,f1/13,f1
f1-14,Amazon2000,f1,14,04.10.2000,15.10.2000,GX.9116,GX.9377,GX.9156,,f1/14,f1
f1-15,Amazon2000,f1,15,15.10.2000,08.11.2000,GX.9116,GX.9377,GX.9156,,f1/15,f1
f1-16,Amazon2000,f1,16,08.11.2000,01.12.2000,GX.9116,GX.9377,GX.9156,,f1/16,f1
f1-17,Amazon2000,f1,17,01.12.2000,15.12.2000,GX.9116,GX.9377,GX.9156,,f1/17,f1
f1-18,Amazon2000,f1,18,15.12.2000,28.12.2000,GX.9116,GX.9377,GX.9156,,f1/18,f1
f2-1,Amazon2000,f2,1,22.01.2000,22.02.2000,GX.9116,GX.9377,GX.9157,,f2/1,f2
f2-2,Amazon2000,f2,2,22.02.2000,07.03.2000,GX.9116,GX.9377,GX.9157,,f2/2,f2
f2-3,Amazon2000,f2,3,07.03.2000,24.03.2000,GX.9116,GX.9377,GX.9157,,f2/3,f2
f2-4,Amazon2000,f2,4,24.03.2000,16.04.2000,GX.9116,GX.9377,GX.9157,,f2/4,f2
f2-5,Amazon2000,f2,5,16.04.2000,03.05.2000,GX.9116,GX.9377,GX.9157,,f2/5,f2
f2-7,Amazon2000,f2,7,22.05.2000,11.06.2000,GX.9116,GX.9377,GX.9157,,f2/7,f2
f2-9,Amazon2000,f2,9,29.06.2000,16.07.2000,GX.9116,GX.9377,GX.9157,,f2/9,f2
f2-10,Amazon2000,f2,10,16.07.2000,02.08.2000,GX.9116,GX.9377,GX.9157,,f2/10,f2
f2-11,Amazon2000,f2,11,02.08.2000,18.08.2000,GX.9116,GX.9377,GX.9157,,f2/11,f2
f2-12,Amazon2000,f2,12,18.08.2000,14.09.2000,GX.9116,GX.9377,GX.9157,,f2/12,f2
f2-13,Amazon2000,f2,13,14.09.2000,04.10.2000,GX.9116,GX.9377,GX.9157,,f2/13,f2
f2-14,Amazon2000,f2,14,04.10.2000,15.10.2000,GX.9116,GX.9377,GX.9157,,f2/14,f2
f2-15,Amazon2000,f2,15,15.10.2000,08.11.2000,GX.9116,GX.9377,GX.9157,,f2/15,f2
f2-17,Amazon2000,f2,17,01.12.2000,21.12.2000,GX.9116,GX.9377,GX.9157,,f2/17,f2
g1-1,Amazon2000,g1,1,24.01.2000,20.02.2000,GX.9116,GX.9375,GX.9158,,g1/1,g1
g1-2,Amazon2000,g1,2,20.02.2000,08.03.2000,GX.9116,GX.9375,GX.9158,,g1/2,g1
g1-3,Amazon2000,g1,3,08.03.2000,24.03.2000,GX.9116,GX.9375,GX.9158,,g1/3,g1
g1-4,Amazon2000,g1,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9158,,g1/4,g1
g1-5,Amazon2000,g1,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9158,,g1/5,g1
g1-8,Amazon2000,g1,8,11.06.2000,29.06.2000,GX.9116,GX.9375,GX.9158,,g1/8,g1
g1-9,Amazon2000,g1,9,29.06.2000,16.07.2000,GX.9116,GX.9375,GX.9158,,g1/9,g1
g1-10,Amazon2000,g1,10,16.07.2000,02.08.2000,GX.9116,GX.9375,GX.9158,,g1/10,g1
g1-13,Amazon2000,g1,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9158,,g1/13,g1
g1-15,Amazon2000,g1,15,17.10.2000,08.11.2000,GX.9116,GX.9375,GX.9158,,g1/15,g1
g1-18,Amazon2000,g1,18,17.12.2000,28.12.2000,GX.9116,GX.9375,GX.9158,,g1/18,g1
g1-19,Amazon2000,g1,19,28.12.2000,23.01.2001,GX.9116,GX.9375,GX.9158,,g1/19,g1
g2-1,Amazon2000,g2,1,24.01.2000,20.02.2000,GX.9116,GX.9375,GX.9159,,g2/1,g2
g2-2,Amazon2000,g2,2,20.02.2000,08.03.2000,GX.9116,GX.9375,GX.9159,,g2/2,g2
g2-3,Amazon2000,g2,3,08.03.2000,24.03.2000,GX.9116,GX.9375,GX.9159,,g2/3,g2
g2-4,Amazon2000,g2,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9159,,g2/4,g2
g2-5,Amazon2000,g2,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9159,,g2/5,g2
g2-6,Amazon2000,g2,6,03.05.2000,22.05.2000,GX.9116,GX.9375,GX.9159,,g2/6,g2
g2-7,Amazon2000,g2,7,22.05.2000,11.06.2000,GX.9116,GX.9375,GX.9159,,g2/7,g2
g2-8,Amazon2000,g2,8,11.06.2000,29.06.2000,GX.9116,GX.9375,GX.9159,,g2/8,g2
g2-9,Amazon2000,g2,9,29.06.2000,16.07.2000,GX.9116,GX.9375,GX.9159,,g2/9,g2
g2-10,Amazon2000,g2,10,16.07.2000,02.08.2000,GX.9116,GX.9375,GX.9159,,g2/10,g2
g2-11,Amazon2000,g2,11,02.08.2000,18.08.2000,GX.9116,GX.9375,GX.9159,,g2/11,g2
g2-12,Amazon2000,g2,12,18.08.2000,14.09.2000,GX.9116,GX.9375,GX.9159,,g2/12,g2
g2-13,Amazon2000,g2,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9159,,g2/13,g2
g2-14,Amazon2000,g2,14,04.10.2000,17.10.2000,GX.9116,GX.9375,GX.9159,,g2/14,g2
g2-15,Amazon2000,g2,15,17.10.2000,08.11.2000,GX.9116,GX.9375,GX.9159,,g2/15,g2
g2-16,Amazon2000,g2,16,08.11.2000,01.12.2000,GX.9116,GX.9375,GX.9159,,g2/16,g2
g2-17,Amazon2000,g2,17,01.12.2000,17.12.2000,GX.9116,GX.9375,GX.9159,,g2/17,g2
g2-18,Amazon2000,g2,18,17.12.2000,27.12.2000,GX.9116,GX.9375,GX.9159,,g2/18,g2
g2-19,Amazon2000,g2,19,27.12.2000,23.01.2001,GX.9116,GX.9375,GX.9159,,g2/19,g2
g3-1,Amazon2000,g3,1,24.01.2000,20.02.2000,GX.9116,GX.9375,GX.9160,,g3/1,g3
g3-2,Amazon2000,g3,2,20.02.2000,08.03.2000,GX.9116,GX.9375,GX.9160,,g3/2,g3
g3-3,Amazon2000,g3,3,08.03.2000,24.03.2000,GX.9116,GX.9375,GX.9160,,g3/3,g3
g3-4,Amazon2000,g3,4,24.03.2000,16.04.2000,GX.9116,GX.9375,GX.9160,,g3/4,g3
g3-5,Amazon2000,g3,5,16.04.2000,03.05.2000,GX.9116,GX.9375,GX.9160,,g3/5,g3
g3-6,Amazon2000,g3,6,03.05.2000,22.05.2000,GX.9116,GX.9375,GX.9160,,g3/6,g3
g3-10,Amazon2000,g3,10,16.07.2000,02.08.2000,GX.9116,GX.9375,GX.9160,,g3/10,g3
g3-11,Amazon2000,g3,11,02.08.2000,18.08.2000,GX.9116,GX.9375,GX.9160,,g3/11,g3
g3-12,Amazon2000,g3,12,18.08.2000,14.09.2000,GX.9116,GX.9375,GX.9160,,g3/12,g3
g3-13,Amazon2000,g3,13,14.09.2000,04.10.2000,GX.9116,GX.9375,GX.9160,,g3/13,g3
g3-14,Amazon2000,g3,14,04.10.2000,17.10.2000,GX.9116,GX.9375,GX.9160,,g3/14,g3
g3-15,Amazon2000,g3,15,17.10.2000,08.11.2000,GX.9116,GX.9375,GX.9160,,g3/15,g3
g3-16,Amazon2000,g3,16,08.11.2000,01.12.2000,GX.9116,GX.9375,GX.9160,,g3/16,g3
g3-17,Amazon2000,g3,17,01.12.2000,21.12.2000,GX.9116,GX.9375,GX.9160,,g3/17,g3
g3-18,Amazon2000,g3,18,21.12.2000,23.12.2000,GX.9116,GX.9375,GX.9160,,g3/18,g3
h1-1,Amazon2000,h1,1,24.01.2000,20.02.2000,GX.9116,GX.9377,GX.9161,,h1/1,h1
h1-2,Amazon2000,h1,2,20.02.2000,08.03.2000,GX.9116,GX.9377,GX.9161,,h1/2,h1
h1-3,Amazon2000,h1,3,08.03.2000,24.03.2000,GX.9116,GX.9377,GX.9161,,h1/3,h1
h1-4,Amazon2000,h1,4,24.03.2000,17.04.2000,GX.9116,GX.9377,GX.9161,,h1/4,h1
h1-5,Amazon2000,h1,5,17.04.2000,03.05.2000,GX.9116,GX.9377,GX.9161,,h1/5,h1
h1-6,Amazon2000,h1,6,03.05.2000,22.05.2000,GX.9116,GX.9377,GX.9161,,h1/6,h1
h1-7,Amazon2000,h1,7,22.05.2000,11.06.2000,GX.9116,GX.9377,GX.9161,,h1/7,h1
h1-8,Amazon2000,h1,8,11.06.2000,29.06.2000,GX.9116,GX.9377,GX.9161,,h1/8,h1
h1-9,Amazon2000,h1,9,29.06.2000,16.07.2000,GX.9116,GX.9377,GX.9161,,h1/9,h1
h1-10,Amazon2000,h1,10,16.07.2000,02.08.2000,GX.9116,GX.9377,GX.9161,,h1/10,h1
h1-11,Amazon2000,h1,11,02.08.2000,18.08.2000,GX.9116,GX.9377,GX.9161,,h1/11,h1
h1-12,Amazon2000,h1,12,18.08.2000,14.09.2000,GX.9116,GX.9377,GX.9161,,h1/12,h1
h1-13,Amazon2000,h1,13,14.09.2000,04.10.2000,GX.9116,GX.9377,GX.9161,,h1/13,h1
h1-14,Amazon2000,h1,14,04.10.2000,17.10.2000,GX.9116,GX.9377,GX.9161,,h1/14,h1
h1-15,Amazon2000,h1,15,17.10.2000,08.11.2000,GX.9116,GX.9377,GX.9161,,h1/15,h1
h1-16,Amazon2000,h1,16,08.11.2000,01.12.2000,GX.9116,GX.9377,GX.9161,,h1/16,h1
h1-17,Amazon2000,h1,17,01.12.2000,21.12.2000,GX.9116,GX.9377,GX.9161,,h1/17,h1
h1-19,Amazon2000,h1,19,28.12.2000,23.01.2001,GX.9116,GX.9377,GX.9161,,h1/19,h1
h2-1,Amazon2000,h2,1,24.01.2000,20.02.2000,GX.9116,GX.9376,GX.9162,,h2/1,h2
h2-2,Amazon2000,h2,2,20.02.2000,08.03.2000,GX.9116,GX.9376,GX.9162,,h2/2,h2
h2-3,Amazon2000,h2,3,08.03.2000,24.03.2000,GX.9116,GX.9376,GX.9162,,h2/3,h2
h2-4,Amazon2000,h2,4,24.03.2000,17.04.2000,GX.9116,GX.9376,GX.9162,,h2/4,h2
h2-5,Amazon2000,h2,5,17.04.2000,03.05.2000,GX.9116,GX.9376,GX.9162,,h2/5,h2
h2-6,Amazon2000,h2,6,03.05.2000,22.05.2000,GX.9116,GX.9376,GX.9162,,h2/6,h2
h2-7,Amazon2000,h2,7,22.05.2000,11.06.2000,GX.9116,GX.9376,GX.9162,,h2/7,h2
h2-8,Amazon2000,h2,8,11.06.2000,29.06.2000,GX.9116,GX.9376,GX.9162,,h2/8,h2
h2-9,Amazon2000,h2,9,29.06.2000,16.07.2000,GX.9116,GX.9376,GX.9162,,h2/9,h2
h2-10,Amazon2000,h2,10,16.07.2000,02.08.2000,GX.9116,GX.9376,GX.9162,,h2/10,h2
h2-11,Amazon2000,h2,11,02.08.2000,18.08.2000,GX.9116,GX.9376,GX.9162,,h2/11,h2
h2-12,Amazon2000,h2,12,18.08.2000,14.09.2000,GX.9116,GX.9376,GX.9162,,h2/12,h2
h2-13,Amazon2000,h2,13,14.09.2000,04.10.2000,GX.9116,GX.9376,GX.9162,,h2/13,h2
h2-14,Amazon2000,h2,14,04.10.2000,17.10.2000,GX.9116,GX.9376,GX.9162,,h2/14,h2
